csv_row,ndex,cameo,card,set,num,notes
1156,144,Articuno,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
1166,145,Zapdos,Lucky Stadium,Chūbu World Challenge Promo,-,
1167,145,Zapdos,Illusion's Zorua,2010 Card Design Contest,2nd Grade,
1169,145,Zapdos,Illusion's Zoroark,2010 Card Design Contest,4th Grade,only partially visible
1182,146,Moltres,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
1209,149,Dragonite,Pikachu,Collection 151,171,this card was only released in Simplified Chinese
1215,150,Mewtwo,X Special,Groundbreakers,8,
1216,150,Mewtwo,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
1221,150,Mewtwo,No.1 Trainer,Super Secret Battle Promo,-,silhouette
1222,150,Mewtwo,No.2 Trainer,Super Secret Battle Promo,-,
1223,150,Mewtwo,No.3 Trainer,Super Secret Battle Promo,-,
1232,151,Mew,Lucky Stadium,Hokushin'etsu World Challenge Promo,-,
1238,151,Mew,Illusion's Zoroark,2010 Card Design Contest,4th Grade,
1241,151,Mew,Pikachu,SV-P Promos,153,this card was only released in Traditional Chinese
1242,151,Mew,Pikachu,Collection 151,170,this card was only released in Simplified Chinese
