Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
,,Champions Festival,SM Promos,231,https://www.tcgplayer.com/product/198360/pokemon-sm-promos-champions-festival-sm231-world-championships-2019?page=1&Language=English,picture
5,Charmeleon,Swablu,Legendary Treasures,103,https://www.tcgplayer.com/product/89663/pokemon-legendary-treasures-swablu?Language=English&page=1,
,,Mega Charizard X ex,Phantasmal Flames,125,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094?Language=all&page=1,
6,Charizard,Mew,Southern Islands,1,https://www.tcgplayer.com/product/46466/pokemon-southern-islands-mew?Language=English&page=1,
,,New Year Present,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617342/pokemon-japan-pokemon-card-fan-club-new-year-present-jumbo?page=1&Language=all,Jumbo
,,Lucky Stadium,Wizards Promos,41,https://www.tcgplayer.com/product/86894/pokemon-wotc-promo-lucky-stadium?page=1&Language=English,
,,Swap Spots,Next Quest,5,https://bulbapedia.bulbagarden.net/wiki/Swap_Spots_(Next_Quest_5),
,,,Groundbreakers,4,https://bulbapedia.bulbagarden.net/wiki/Swap_Spots_(Next_Quest_5),
,,Special Delivery Bidoof,SWSH Promos,177,https://www.tcgplayer.com/product/247386/pokemon-swsh-sword-and-shield-promo-cards-special-delivery-bidoof?Language=English&page=1,
,,Mewtwo VSTAR,Crown Zenith,GG44,https://www.tcgplayer.com/product/477057/pokemon-swsh-crown-zenith-galarian-gallery-mewtwo-vstar?page=1&Language=English,
,,Pikachu,SV Promos,101,https://www.tcgplayer.com/product/528365/pokemon-sv-scarlet-and-violet-promo-cards-pikachu-101?Language=English&page=1,
,,Pikachu,SV-P Promos,153,https://www.pricecharting.com/game/pokemon-chinese-promo/pikachu-153sv-p,this card was only released in Traditional Chinese
,,Mega Charizard X ex,Phantasmal Flames,109,https://www.tcgplayer.com/product/662183/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-109-094?Language=English&page=1,
,,Mega Charizard X ex,Phantasmal Flames,125,https://www.tcgplayer.com/product/662184/pokemon-me02-phantasmal-flames-mega-charizard-x-ex-125-094?Language=all&page=1,
,,Greninja,Unbroken Bonds,117,https://www.tcgplayer.com/product/189217/pokemon-sm-unbroken-bonds-greninja?Language=English&page=1,shadow
,,Charmander,151,4,https://www.tcgplayer.com/product/502555/pokemon-sv-scarlet-and-violet-151-charmander-004-165?Language=English&page=1,
,,,Paldean Fates,7,https://www.tcgplayer.com/product/534142/pokemon-sv-paldean-fates-charmander-007-091?Language=English&page=1,
,,Team Rocket's Meowth,Wizards Promos,18,https://www.tcgplayer.com/product/89851/pokemon-wotc-promo-team-rockets-meowth?page=1&Language=English,silhouette
,,Influencer's Introduction,Start Deck 100 CoroCiao Version,19,https://www.tcgplayer.com/product/677316/pokemon-japan-mp1-start-deck-100-battle-collection-corociao-version-influencers-introduction?page=1&Language=all,plushie
,,Team Rocket's Wobbuffet,SV Promos,203,https://www.tcgplayer.com/product/635468/pokemon-sv-scarlet-and-violet-promo-cards-team-rockets-wobbuffet-pokemon-center-exclusive?Language=all&page=1,chip bag
,,The Masked Royal,Celestial Storm,139,https://www.tcgplayer.com/product/171000/pokemon-sm-celestial-storm-the-masked-royal?Language=all&page=1,Battle Royal Red Corner
,,Elesa's Sparkle,Crown Zenith,147,https://www.tcgplayer.com/product/477241/pokemon-swsh-crown-zenith-elesas-sparkle-full-art?Language=all&page=1,amusement park fixture
,Mega Charizard X,Charizard Spirit Link,Evolutions,75,https://www.tcgplayer.com/product/124088/pokemon-xy-evolutions-charizard-spirit-link?Language=all&page=1,
,,Poncho-wearing Pikachu,XY-P Promos,207,https://www.tcgplayer.com/product/602111/pokemon-japan-xy-p-xy-promos-poncho-wearing-pikachu-207-xy-p?page=1&Language=all,costume
,Mega Charizard Y,Charizard Spirit Link,Evolutions,75,https://www.tcgplayer.com/product/124088/pokemon-xy-evolutions-charizard-spirit-link?page=1&Language=English,
,,Mega Tokyo's Pikachu,XY-P Promos,98,https://www.tcgplayer.com/product/268261/pokemon-xy-promos-mega-tokyos-pikachu-98-xy-p?Language=English&page=1,costume
,,Mega Tokyo's Pikachu,XY-P Promos,204,https://www.tcgplayer.com/product/268262/pokemon-xy-promos-mega-tokyos-pikachu-204-xy-p?Language=all&page=1,
,,Poncho-wearing Pikachu,XY-P Promos,208,https://www.tcgplayer.com/product/602112/pokemon-japan-xy-p-xy-promos-poncho-wearing-pikachu-208-xy-p?page=1&Language=all,
7,Squirtle,Pikachu's Summer Vacation,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617250/pokemon-japan-corocoro-promotional-cards-pikachus-summer-vacation-jumbo?page=1&Language=all,Jumbo
,,Pokémon Valley,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617252/pokemon-japan-corocoro-promotional-cards-pokemon-valley-jumbo?page=1&Language=all,Jumbo
,,Misty's Tears,Gym Challenge,118,https://www.tcgplayer.com/product/87549/pokemon-gym-challenge-mistys-tears?page=1&Language=English,
,,Town Volunteers,Aquapolis,136,https://www.tcgplayer.com/product/90006/pokemon-aquapolis-town-volunteers?Language=English&page=1,
