Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
252,Treecko,Energy Switch,Ruby & Sapphire,82,https://www.tcgplayer.com/product/85252/pokemon-ruby-and-sapphire-energy-switch,
,,,FireRed & LeafGreen,90,https://www.tcgplayer.com/product/85254/pokemon-firered-and-leafgreen-energy-switch,
,,,Unseen Forces,84,https://www.tcgplayer.com/product/85255/pokemon-unseen-forces-energy-switch,
,,,Power Keepers,75,https://www.tcgplayer.com/product/85256/pokemon-power-keepers-energy-switch,
,,,Celestial Storm,129,https://www.tcgplayer.com/product/170990/pokemon-sm-celestial-storm-energy-switch,
,,Tropical Wind,Nintendo Promos,26,https://www.tcgplayer.com/product/90053/pokemon-nintendo-promos-tropical-wind-026-2004-world-championships-participation,
,,X Accuracy,Next Quest,7,,
,,,Groundbreakers,6,,
,,Captain Pikachu,Pokémon Center promo,-,https://www.tcgplayer.com/product/617410/pokemon-japan-unnumbered-promotional-cards-captain-pikachu,Jumbo
,,Pikachu,XY-P Promos,©2014,,Jumbo
,,Rocket's Mission,Team Rocket Returns,88,https://www.tcgplayer.com/product/88780/pokemon-team-rocket-returns-rockets-mission,silhouette
,,Lanette's Net Search,Sandstorm,87,https://www.tcgplayer.com/product/86597/pokemon-sandstorm-lanettes-net-search,"picture, only partially visible"
,,,Emerald,77,https://www.tcgplayer.com/product/86598/pokemon-emerald-lanettes-net-search,
254,Mega Sceptile,Sceptile Spirit Link,Ancient Origins,80,https://www.tcgplayer.com/product/101502/pokemon-xy-ancient-origins-sceptile-spirit-link,
255,Torchic,Switch,Ruby & Sapphire,92,https://www.tcgplayer.com/product/89709/pokemon-ruby-and-sapphire-switch,
,,,FireRed & LeafGreen,102,https://www.tcgplayer.com/product/89712/pokemon-firered-and-leafgreen-switch,
,,,Delta Species,102,https://www.tcgplayer.com/product/89713/pokemon-delta-species-switch,
,,,Dragon Frontiers,83,https://www.tcgplayer.com/product/89714/pokemon-dragon-frontiers-switch,
,,,Next Quest,6,,
,,,Groundbreakers,5,,
,,,Celestial Storm,147,https://www.tcgplayer.com/product/171008/pokemon-sm-celestial-storm-switch,
,,Venture Bomb,Team Rocket Returns,93,https://www.tcgplayer.com/product/90310/pokemon-team-rocket-returns-venture-bomb,
,,Tropical Wind,Nintendo Promos,26,https://www.tcgplayer.com/product/90053/pokemon-nintendo-promos-tropical-wind-026-2004-world-championships-participation,
,,Swap Spots,Next Quest,5,,
,,,Groundbreakers,4,,
,,Mewtwo,BW-P Promos,-,,Jumbo
,,Pikachu,XY-P Promos,©2014,,Jumbo
,,Snorlax,Unbroken Bonds,158,https://www.tcgplayer.com/product/189260/pokemon-sm-unbroken-bonds-snorlax,
,,PokéPark's Mudkip,PokéPark Forest,3,https://www.tcgplayer.com/product/613893/pokemon-japan-pokepark-forest-pokeparks-mudkip,only partially visible
,,Rocket's Mission,Team Rocket Returns,88,https://www.tcgplayer.com/product/88780/pokemon-team-rocket-returns-rockets-mission,silhouette
,,Pikachu at the Museum,MEP Promos,-,https://www.tcgplayer.com/product/678659/pokemon-jumbo-cards-pikachu-at-the-museum,stained glass; Jumbo
258,Mudkip,Pokémon Reversal,Ruby & Sapphire,87,https://www.tcgplayer.com/product/88237/pokemon-ruby-and-sapphire-pokemon-reversal,
,,,FireRed & LeafGreen,97,https://www.tcgplayer.com/product/88239/pokemon-firered-and-leafgreen-pokemon-reversal,
,,,Unseen Forces,88,https://www.tcgplayer.com/product/88235/pokemon-unseen-forces-pokemon-reversal,
,,Swoop! Teleporter,Team Rocket Returns,92,https://www.tcgplayer.com/product/89728/pokemon-team-rocket-returns-swoop-teleporter,
,,Tropical Wind,Nintendo Promos,26,https://www.tcgplayer.com/product/90053/pokemon-nintendo-promos-tropical-wind-026-2004-world-championships-participation,
,,Long Throw,Next Quest,2,,
,,Pikachu,BW-P Promos,©2013,,Jumbo
,,Pikachu,XY-P Promos,©2014,,Jumbo
,,PokéPark's Torchic,PokéPark Forest,2,https://www.tcgplayer.com/product/613889/pokemon-japan-pokepark-forest-pokeparks-torchic,only partially visible
,,Rocket's Mission,Team Rocket Returns,88,https://www.tcgplayer.com/product/88780/pokemon-team-rocket-returns-rockets-mission,silhouette
259,Marshtomp,Surprise! Time Machine,Team Rocket Returns,91,https://www.tcgplayer.com/product/89645/pokemon-team-rocket-returns-surprise-time-machine,
,,Unfezant,Pokémon GO,63,https://www.tcgplayer.com/product/276989/pokemon-pokemon-go-unfezant,
261,Poochyena,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,,
,,Deliquent,BREAKpoint,98a,https://www.tcgplayer.com/product/177167/pokemon-alternate-art-promos-delinquent-98a-122,
262,Mightyena,Butler's Dusclops,Movie Commemoration VS Pack,10,https://www.tcgplayer.com/product/613834/pokemon-japan-movie-commemoration-vs-pack-butlers-dusclops,
,,Team Magma's Zangoose,Double Crisis,22,https://www.tcgplayer.com/product/97068/pokemon-double-crisis-team-magmas-zangoose,
,,Deliquent,BREAKpoint,98b,https://www.tcgplayer.com/product/148341/pokemon-alternate-art-promos-delinquent-98b-122-full-art,
263,Galarian Zigzagoon,Player's Ceremony,S-P Promos,127,https://www.tcgplayer.com/product/597328/pokemon-japan-s-p-sword-and-shield-promos-players-ceremony-127-s-p,
264,Galarian Linoone,Piers,Shining Fates,69,https://www.tcgplayer.com/product/232533/pokemon-shining-fates-piers-full-art,
265,Wurmple,Hisuian Goodra,Crown Zenith,GG21,https://www.tcgplayer.com/product/478039/pokemon-swsh-crown-zenith-galarian-gallery-hisuian-goodra,
267,Beautifly,Heracross M,Movie Random Pack,2,https://www.tcgplayer.com/product/613756/pokemon-japan-movie-commemoration-random-pack-heracross-m-002-022,
,,Arceus V,SWSH Promos,204,https://www.tcgplayer.com/product/271837/pokemon-swsh-sword-and-shield-promo-cards-arceus-v-swsh204,
269,Dustox,Koko,Koko Illustration Contest,Parent-Child,,Jumbo
270,Lotad,Ludicolo,Sandstorm,7,https://www.tcgplayer.com/product/86895/pokemon-sandstorm-ludicolo,
,,Koko,Koko Illustration Contest,Parent-Child,,Jumbo
,,Kricketune,Crown Zenith,GG02,https://www.tcgplayer.com/product/478019/pokemon-swsh-crown-zenith-galarian-gallery-kricketune,
,,Probopass,Twilight Masquerade,182,https://www.tcgplayer.com/product/550226/pokemon-sv06-twilight-masquerade-probopass-182-167,
,,Flygon,Phantasmal Flames,101,https://www.tcgplayer.com/product/662160/pokemon-me02-phantasmal-flames-flygon-101-094,
,,Ditto,SV-P Promos,173,,Ditto's disguise; this card was only released in Korean
271,Lombre,Ludicolo,Sandstorm,7,https://www.tcgplayer.com/product/86895/pokemon-sandstorm-ludicolo,
273,Seedot,Illusion's Zorua,2010 Card Design Contest,2nd Grade,,
,,Koko,Koko Illustration Contest,Twitter,,Jumbo
,,Shiftry,Temporal Forces,163,https://www.tcgplayer.com/product/542884/pokemon-sv05-temporal-forces-shiftry-163-162,
274,Nuzleaf,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,,
,,Koko,Koko Illustration Contest,Parent-Child,,Jumbo
,,Koko,Koko Illustration Contest,Twitter,,Jumbo
276,Taillow,Jamming Tower,Destined Rivals,243,https://www.tcgplayer.com/product/633043/pokemon-sv10-destined-rivals-jamming-tower,
,,,Ascended Heroes,222,https://www.tcgplayer.com/product/676073/pokemon-me-ascended-heroes-jamming-tower,
278,Wingull,Wailmer,Sandstorm,83,https://www.tcgplayer.com/product/90451/pokemon-sandstorm-wailmer,
,,Mr. Briney's Compassion,Dragon,87,https://www.tcgplayer.com/product/87585/pokemon-dragon-mr-brineys-compassion,
,,,POP Series 2,8,https://www.tcgplayer.com/product/87586/pokemon-pop-series-2-mr-brineys-compassion,
,,Feebas,Hidden Legends,61,https://www.tcgplayer.com/product/85401/pokemon-hidden-legends-feebas,
,,Tropical Tidal Wave,Nintendo Promos,27,https://www.tcgplayer.com/product/224551/pokemon-nintendo-promos-tropical-tidal-wave-027-2005-world-championships-staff,
,,Captain Pikachu,Pokémon Center promo,-,https://www.tcgplayer.com/product/617410/pokemon-japan-unnumbered-promotional-cards-captain-pikachu,Jumbo
,,Phione,Legendary Treasures,36,https://www.tcgplayer.com/product/88009/pokemon-legendary-treasures-phione,
,,Trubbish,Legendary Treasures,67,https://www.tcgplayer.com/product/90070/pokemon-legendary-treasures-trubbish,
,,Virizion,Ancient Origins,12,https://www.tcgplayer.com/product/100619/pokemon-xy-ancient-origins-virizion,
,,Champions Festival,XY Promos,176,https://www.tcgplayer.com/product/199330/pokemon-xy-promos-champions-festival-2016,
,,Pikachu,Art Academy Promo,Xime,,
,,Slowbro,Guardians Rising,49,https://www.tcgplayer.com/product/130955/pokemon-sm-guardians-rising-slowbro,
,,Wailord,Cosmic Eclipse,46,https://www.tcgplayer.com/product/201222/pokemon-sm-cosmic-eclipse-wailord,
