Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
650,Chespin,Inkay,XY-P Promos,-,https://www.tcgplayer.com/product/602010/pokemon-japan-xy-p-xy-promos-inkay-105-xy-p,Jumbo
,,Victory Ring,XY-P Promos,2nd,,
,,Pikachu,XY-P Promos,-,,
,,Pikachu,XY Promos,95,https://www.tcgplayer.com/product/114004/pokemon-xy-promos-pikachu,
,,Dedenne,BREAKthrough,57,https://www.tcgplayer.com/product/107176/pokemon-xy-breakthrough-dedenne,
,,Snorlax,BREAKthrough,118,https://www.tcgplayer.com/product/107236/pokemon-xy-breakthrough-snorlax,
,,Professor Sycamore,BREAKpoint,107a,https://www.tcgplayer.com/product/111637/pokemon-xy-breakpoint-professor-sycamore,
,,Professor Sycamore,Steam Siege,114,https://www.tcgplayer.com/product/121238/pokemon-xy-steam-siege-professor-sycamore,
,,Litten,SM-P Promos,259,https://www.tcgplayer.com/product/598336/pokemon-japan-sm-p-sun-and-moon-promos-litten-259-sm-p,
,,Inkay,SM-P Promos,261,https://www.tcgplayer.com/product/598338/pokemon-japan-sm-p-sun-and-moon-promos-inkay-261-sm-p,
652,Chesnaught,Mewtwo-EX,BREAKthrough,164,https://www.tcgplayer.com/product/107283/pokemon-xy-breakthrough-mewtwo-ex-164-secret-full-art,
653,Fennekin,Inkay,XY-P Promos,-,https://www.tcgplayer.com/product/602010/pokemon-japan-xy-p-xy-promos-inkay-105-xy-p,Jumbo
,,Victory Ring,XY-P Promos,2nd,,
,,Chikorita,BREAKpoint,1,https://www.tcgplayer.com/product/111504/pokemon-xy-breakpoint-chikorita,
,,Sapporo's Pikachu,SM-P Promos,5,https://www.tcgplayer.com/product/598082/pokemon-japan-sm-p-sun-and-moon-promos-sapporos-pikachu-005-sm-p,
,,Pikachu,XY-P Promos,-,,picture
656,Froakie,Inkay,XY-P Promos,-,https://www.tcgplayer.com/product/602010/pokemon-japan-xy-p-xy-promos-inkay-105-xy-p,Jumbo
,,Victory Ring,XY-P Promos,2nd,,
,,Frogadier,BREAKthrough,47,https://www.tcgplayer.com/product/107166/pokemon-xy-breakthrough-frogadier,
,,Champions Festival,XY Promos,27,https://www.tcgplayer.com/product/96390/pokemon-xy-promos-champions-festival-xy27-2014,
,,Greninja,SWSH Promos,305,https://www.tcgplayer.com/product/485845/pokemon-swsh-sword-and-shield-promo-cards-greninja-illustration-contest-2022,
,,Pikachu,XY-P Promos,-,,picture
,,Champions Festival,SM Promos,231,https://www.tcgplayer.com/product/198360/pokemon-sm-promos-champions-festival-sm231-world-championships-2019,
657,Frogadier,Froakie,BREAKthrough,46,https://www.tcgplayer.com/product/107165/pokemon-xy-breakthrough-froakie,
,,Greninja,SWSH Promos,305,https://www.tcgplayer.com/product/485845/pokemon-swsh-sword-and-shield-promo-cards-greninja-illustration-contest-2022,
658,Greninja,Pikachu,Art Academy Promo,Ashley,,
,,Gyarados-EX,BREAKpoint,123,https://www.tcgplayer.com/product/111531/pokemon-xy-breakpoint-gyarados-ex-secret,
,,Mega Greninja ex,Chaos Rising,100,https://www.tcgplayer.com/product/693516/pokemon-me04-chaos-rising-mega-greninja-ex-100-086,
,,Mega Greninja ex,Chaos Rising,116,https://www.tcgplayer.com/product/693517/pokemon-me04-chaos-rising-mega-greninja-ex-116-086,
,Mega Greninja,Frogadier,Chaos Rising,89,https://www.tcgplayer.com/product/693491/pokemon-me04-chaos-rising-frogadier-089-086,only partially visible
659,Bunnelby,Meditite,Celestial Storm,76,https://www.tcgplayer.com/product/170898/pokemon-sm-celestial-storm-meditite,
,,Kricketune,Crown Zenith,GG02,https://www.tcgplayer.com/product/478019/pokemon-swsh-crown-zenith-galarian-gallery-kricketune,
,,Lumiose City,Perfect Order,111,https://www.tcgplayer.com/product/684349/pokemon-me03-perfect-order-lumiose-city-111-088,
661,Fletchling,Pikachu,Roaring Skies,20,https://www.tcgplayer.com/product/98056/pokemon-xy-roaring-skies-pikachu,
,,Pikachu,SM Promos,157,https://www.tcgplayer.com/product/179377/pokemon-sm-promos-pikachu-sm157,
,,Arcanine,SWSH Promos,304,https://www.tcgplayer.com/product/485844/pokemon-swsh-sword-and-shield-promo-cards-arcanine-illustration-contest-2022,
,,Garganacl,Paradox Rift,202,https://www.tcgplayer.com/product/523883/pokemon-sv04-paradox-rift-garganacl-202-182,
,,Clive,Paldean Fates,236,https://www.tcgplayer.com/product/535098/pokemon-sv-paldean-fates-clive-236-091,
,,Fletchinder,Paldea Evolved,199,https://www.tcgplayer.com/product/497602/pokemon-sv02-paldea-evolved-fletchinder-199-193,picture
,,Corphish,Twilight Masquerade,47,https://www.tcgplayer.com/product/550091/pokemon-sv06-twilight-masquerade-corphish,sign
,,Postwick,Journey Together,154,https://www.tcgplayer.com/product/623581/pokemon-sv09-journey-together-postwick,weathervane
,,Grookey,MEP Promos,52,,
665,Talonflame,Inkay,XY-P Promos,-,https://www.tcgplayer.com/product/602010/pokemon-japan-xy-p-xy-promos-inkay-105-xy-p,Jumbo
,,Lacey,Prismatic Evolutions,175,https://www.tcgplayer.com/product/610530/pokemon-sv-prismatic-evolutions-lacey-175-131,silhouette
664,Scatterbug,Dudunsparce,Paldea Evolved,229,https://www.tcgplayer.com/product/497633/pokemon-sv02-paldea-evolved-dudunsparce-229-193,
,,Forest of Vitality,Perfect Order,109,https://www.tcgplayer.com/product/684328/pokemon-me03-perfect-order-forest-of-vitality,
666,Vivillon (Modern),Champions Festival,XY Promos,27,https://www.tcgplayer.com/product/96390/pokemon-xy-promos-champions-festival-xy27-2014,
,,Champions Festival,SM Promos,231,https://www.tcgplayer.com/product/198360/pokemon-sm-promos-champions-festival-sm231-world-championships-2019,picture
,Vivillon (Ocean),Champions Festival,XY Promos,27,https://www.tcgplayer.com/product/96390/pokemon-xy-promos-champions-festival-xy27-2014,
,,Champions Festival,SM Promos,231,https://www.tcgplayer.com/product/198360/pokemon-sm-promos-champions-festival-sm231-world-championships-2019,picture
,Vivillon (Poké Ball),Okuge-sama and Maiko-han Pikachu,XY-P Promos,221,https://www.tcgplayer.com/product/602125/pokemon-japan-xy-p-xy-promos-okuge-sama-and-maiko-han-pikachu-221-xy-p,hair accessory
667,Litleo,Ice Rider Calyrex V,Chilling Reign,164,https://www.tcgplayer.com/product/241700/pokemon-swsh06-chilling-reign-ice-rider-calyrex-v-alternate-full-art,
,,Pyroar,Paldea Evolved,199,https://www.tcgplayer.com/product/497603/pokemon-sv02-paldea-evolved-pyroar-200-193,
