Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
152,Chikorita,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Professor Elm's Training Method,Expedition,148,https://www.tcgplayer.com/product/88389/pokemon-expedition-professor-elms-training-method,
,,,Unseen Forces,89,https://www.tcgplayer.com/product/88390/pokemon-unseen-forces-professor-elms-training-method,
,,,Dragon Frontiers,79,https://www.tcgplayer.com/product/88391/pokemon-dragon-frontiers-professor-elms-training-method,
,,Pokémon Park,Aquapolis,131,https://www.tcgplayer.com/product/88230/pokemon-aquapolis-pokemon-park,
,,,POP Series 2,10,https://www.tcgplayer.com/product/88231/pokemon-pop-series-2-pokemon-park,
,,Tropical Present,Miscellaneous Promos,©2001,https://www.tcgplayer.com/product/617346/pokemon-japan-pokemon-card-fan-club-tropical-present-summer-2001-jumbo,Jumbo
,,Switch,HeartGold & SoulSilver,102,https://www.tcgplayer.com/product/89718/pokemon-heartgold-soulsilver-switch,
,,Slowbro,Undaunted,38,https://www.tcgplayer.com/product/89308/pokemon-undaunted-slowbro,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,,
,,Mewtwo,BW-P Promos,-,,Jumbo
,,Pikachu,BW-P Promos,©2013,,Jumbo
,,Fennekin,Fates Collide,10,https://www.tcgplayer.com/product/117773/pokemon-xy-fates-collide-fennekin-10,
,,Professor Elm's Lecture,Lost Thunder,188,https://www.tcgplayer.com/product/179023/pokemon-sm-lost-thunder-professor-elms-lecture,
,,Professor Elm's Lecture,Lost Thunder,213,https://www.tcgplayer.com/product/179024/pokemon-sm-lost-thunder-professor-elms-lecture-full-art,
,,Litten,SM-P Promos,374,https://www.tcgplayer.com/product/598451/pokemon-japan-sm-p-sun-and-moon-promos-litten-374-sm-p,
,,Meowth,SM-P Promos,375,https://www.tcgplayer.com/product/598452/pokemon-japan-sm-p-sun-and-moon-promos-meowth-375-sm-p,
,,Lucky Stadium,Intro Pack Neo - Totodile,-,https://www.tcgplayer.com/product/614129/pokemon-japan-intro-pack-neo-totodile-lucky-stadium,silhouette
154,Meganium,Victory Medal,L-P Promos,41,,
155,Cyndaquil,Professor Elm,Neo Genesis,96,https://www.tcgplayer.com/product/88388/pokemon-neo-genesis-professor-elm,
,,,Best of Game,3,https://www.tcgplayer.com/product/88387/pokemon-best-of-promos-professor-elm-3,
,,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
