Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
,,Professor Elm's Training Method,Expedition,148,https://www.tcgplayer.com/product/88389/pokemon-expedition-professor-elms-training-method,
,,,Unseen Forces,89,https://www.tcgplayer.com/product/88390/pokemon-unseen-forces-professor-elms-training-method,
,,,Dragon Frontiers,79,https://www.tcgplayer.com/product/88391/pokemon-dragon-frontiers-professor-elms-training-method,
,,Pokémon Park,Aquapolis,131,https://www.tcgplayer.com/product/88230/pokemon-aquapolis-pokemon-park,
,,,POP Series 2,10,https://www.tcgplayer.com/product/88231/pokemon-pop-series-2-pokemon-park,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,https://www.tcgplayer.com/product/617338/pokemon-japan-pokemon-card-design-contest-spiky-eared-pichu-m-shunsuke-takemori,
,,Slowbro,Undaunted,38,https://www.tcgplayer.com/product/89308/pokemon-undaunted-slowbro,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,,
,,Professor Elm's Lecture,Lost Thunder,188,https://www.tcgplayer.com/product/179023/pokemon-sm-lost-thunder-professor-elms-lecture,
,,Professor Elm's Lecture,Lost Thunder,213,https://www.tcgplayer.com/product/179024/pokemon-sm-lost-thunder-professor-elms-lecture-full-art,
,,Ethan's Adventure,Destined Rivals,236,https://www.tcgplayer.com/product/633036/pokemon-sv10-destined-rivals-ethans-adventure-236-182,
157,Typhlosion,Energy Switch,HeartGold & SoulSilver,91,https://www.tcgplayer.com/product/85259/pokemon-heartgold-soulsilver-energy-switch,
,,Victory Medal,Battle Road Spring Promo,-,,
,,Victory Medal,Battle Road Autumn Promo,-,,
158,Totodile,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Professor Elm's Training Method,Expedition,148,https://www.tcgplayer.com/product/88389/pokemon-expedition-professor-elms-training-method,
,,,Unseen Forces,89,https://www.tcgplayer.com/product/88390/pokemon-unseen-forces-professor-elms-training-method,
,,,Dragon Frontiers,79,https://www.tcgplayer.com/product/88391/pokemon-dragon-frontiers-professor-elms-training-method,
,,Slowpoke,Undaunted,66,https://www.tcgplayer.com/product/89333/pokemon-undaunted-slowpoke,
,,Professor Elm's Lecture,Lost Thunder,188,https://www.tcgplayer.com/product/179023/pokemon-sm-lost-thunder-professor-elms-lecture,
,,Professor Elm's Lecture,Lost Thunder,213,https://www.tcgplayer.com/product/179024/pokemon-sm-lost-thunder-professor-elms-lecture-full-art,
,,Cofagrigus,Lost Thunder,100,https://www.tcgplayer.com/product/178913/pokemon-sm-lost-thunder-cofagrigus,statue
,,Lucky Stadium,Intro Pack Neo - Totodile,-,https://www.tcgplayer.com/product/614129/pokemon-japan-intro-pack-neo-totodile-lucky-stadium,silhouette
160,Feraligatr,Pokémon Reversal,HeartGold & SoulSilver,99,https://www.tcgplayer.com/product/88236/pokemon-heartgold-soulsilver-pokemon-reversal,
,,Victory Medal,L-P Promos,43,,
161,Sentret,Double Gust,Neo Genesis,100,https://www.tcgplayer.com/product/84891/pokemon-neo-genesis-double-gust,
,,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Moomoo Milk,"Gold, Silver, to a New World...",-,https://www.tcgplayer.com/product/575794/pokemon-japan-gold-silver-to-a-new-world-moomoo-milk,
163,Hoothoot,Double Gust,Neo Genesis,100,https://www.tcgplayer.com/product/84891/pokemon-neo-genesis-double-gust,
,,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Town Volunteers,Aquapolis,136,https://www.tcgplayer.com/product/90006/pokemon-aquapolis-town-volunteers,
,,Sage's Training,Undaunted,77,https://www.tcgplayer.com/product/88893/pokemon-undaunted-sages-training,
,,,Call of Legends,85,https://www.tcgplayer.com/product/88894/pokemon-call-of-legends-sages-training,
,,Koko,Koko Illustration Contest,Twitter,,Jumbo
,,Forest Guardian,Aquapolis,123,https://www.tcgplayer.com/product/85541/pokemon-aquapolis-forest-guardian,staff
164,Noctowl,Forest Guardian,Aquapolis,123,https://www.tcgplayer.com/product/85541/pokemon-aquapolis-forest-guardian,
,,Psyduck,SM Promos,199,https://www.tcgplayer.com/product/188321/pokemon-sm-promos-psyduck-sm199-in-store-event-promo,"sign, only partially visible"
165,Ledyba,Koko,Koko Illustration Contest,Parent-Child,,Jumbo
166,Ledian,Aether Paradise Conservation Area,Hidden Fates,SV87,https://www.tcgplayer.com/product/197841/pokemon-hidden-fates-shiny-vault-aether-paradise-conservation-area,
167,Spinarak,Ivysaur,Pokémon GO,2,https://www.tcgplayer.com/product/274434/pokemon-pokemon-go-ivysaur,
169,Crobat,All-Night Party,BREAKpoint,96,https://www.tcgplayer.com/product/111569/pokemon-xy-breakpoint-all-night-party,
,,Pikachu,Crown Zenith,160,https://www.tcgplayer.com/product/478103/pokemon-swsh-crown-zenith-pikachu-secret,
,,Celebratory Fanfare,S-P Promos,254,https://www.tcgplayer.com/product/597427/pokemon-japan-s-p-sword-and-shield-promos-celebration-fanfare-254-s-p,
170,Chinchou,Captain Pikachu,Pokémon Center promo,-,https://www.tcgplayer.com/product/617410/pokemon-japan-unnumbered-promotional-cards-captain-pikachu,Jumbo
,,Galarian Articuno V,Chilling Reign,170,https://www.tcgplayer.com/product/241719/pokemon-swsh06-chilling-reign-galarian-articuno-v-alternate-full-art,
,,Lumineon V,Crown Zenith,GG39,https://www.tcgplayer.com/product/478068/pokemon-swsh-crown-zenith-galarian-gallery-lumineon-v,
171,Lanturn,Lumineon V,Crown Zenith,GG39,https://www.tcgplayer.com/product/478068/pokemon-swsh-crown-zenith-galarian-gallery-lumineon-v,
,,Yokohama's Pikachu,SM-P Promos,280,https://www.tcgplayer.com/product/598357/pokemon-japan-sm-p-sun-and-moon-promos-yokohamas-pikachu-280-sm-p,submarine
172,Pichu,Lucky Stadium,Wizards Promos,41,https://www.tcgplayer.com/product/86894/pokemon-wotc-promo-lucky-stadium,
,,Pokémon Fan Club,Aquapolis,130,https://www.tcgplayer.com/product/88225/pokemon-aquapolis-pokemon-fan-club,
,,Pokémon Pal City,Kantō Battle City Promo,-,https://www.tcgplayer.com/product/617278/pokemon-japan-battle-road-pokemon-pal-city-kanto,
,,Pokémon Collector,HeartGold & SoulSilver,97,https://www.tcgplayer.com/product/88217/pokemon-heartgold-soulsilver-pokemon-collector,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,,
,,Professor Elm's Lecture,Lost Thunder,188a,https://www.tcgplayer.com/product/179023/pokemon-sm-lost-thunder-professor-elms-lecture,
,,Ethan's Adventure,Destined Rivals,236,https://www.tcgplayer.com/product/633036/pokemon-sv10-destined-rivals-ethans-adventure-236-182,
,,Team Rocket's Trickery,Undaunted,78,https://www.tcgplayer.com/product/89852/pokemon-undaunted-team-rockets-trickery,silhouette
,,Pokémon Fan Club,Ultra Prism,133,https://www.tcgplayer.com/product/157749/pokemon-sm-ultra-prism-pokemon-fan-club,costume
,,,TCG Classic: Venusaur Deck,22,https://www.tcgplayer.com/product/591969/pokemon-japan-pokemon-tcg-classic-venusaur-pokemon-fan-club-clf,
,,,TCG Classic: Charizard Deck,22,https://www.tcgplayer.com/product/591936/pokemon-japan-pokemon-tcg-classic-charizard-pokemon-fan-club-cll,
,,,TCG Classic: Blastoise Deck,24,https://www.tcgplayer.com/product/528019/pokemon-trading-card-game-classic-pokemon-fan-club-clb,
,,Pokémon Fan Club,Ultra Prism,155,https://www.tcgplayer.com/product/157771/pokemon-sm-ultra-prism-pokemon-fan-club-full-art,
,Spiky-Eared Pichu,Arceus,2009 Card Design Contest,CoroCoro Comic,https://www.tcgplayer.com/product/617211/pokemon-japan-corocoro-promotional-cards-arceus-comic-competition,
,,Michina Temple,DPt-P Promos,44,https://www.tcgplayer.com/product/613231/pokemon-japan-dpt-p-promotional-cards-michina-temple-044-dpt-p,
173,Cleffa,Moo-Moo Milk,Neo Genesis,101,https://www.tcgplayer.com/product/87574/pokemon-neo-genesis-moo-moo-milk,
,,,Expedition,155,https://www.tcgplayer.com/product/87575/pokemon-expedition-moo-moo-milk,
,,Broken Ground Gym,Neo Destiny,92,https://www.tcgplayer.com/product/83990/pokemon-neo-destiny-broken-ground-gym,
,,Tropical Breeze,VS: Tropical Mega Battle,-,,
,,Paradise Resort,SV Promos,224,https://www.tcgplayer.com/product/649232/pokemon-sv-scarlet-and-violet-promo-cards-paradise-resort-224-world-championships-2025,
175,Togepi,Pokémon Valley,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617252/pokemon-japan-corocoro-promotional-cards-pokemon-valley-jumbo,Jumbo
,,New Century Present,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617341/pokemon-japan-pokemon-card-fan-club-new-century-present-jumbo,Jumbo
,,Light Jolteon,Neo Destiny,48,https://www.tcgplayer.com/product/86741/pokemon-neo-destiny-light-jolteon,
,,Professor Elm's Lecture,Lost Thunder,188a,https://www.tcgplayer.com/product/179023/pokemon-sm-lost-thunder-professor-elms-lecture,
,,Ivysaur,Southern Islands,5,https://www.tcgplayer.com/product/46479/pokemon-southern-islands-ivysaur,only partially visible
,,Pikachu,XY-P Promos,-,,picture
176,Togetic,Togepi,Team Rocket Returns,50,https://www.tcgplayer.com/product/89933/pokemon-team-rocket-returns-togepi,shadow
177,Natu,Bouffalant,Legendary Treasures,107,https://www.tcgplayer.com/product/83945/pokemon-legendary-treasures-bouffalant,
,,Morpeko,SWSH Promos,31,https://www.tcgplayer.com/product/210579/pokemon-swsh-sword-and-shield-promo-cards-morpeko-swsh031,
,,Cofagrigus,Lost Thunder,100,https://www.tcgplayer.com/product/178913/pokemon-sm-lost-thunder-cofagrigus,statue
178,Xatu,Mew,Art Academy Promo,Phanpy,,this card was only released in German
,,Natu,Sandstorm,69,https://www.tcgplayer.com/product/87682/pokemon-sandstorm-natu,silhouette
,,Pikachu Wearing a Batik Shirt,SV-P Promos,154,,clothing design; this card was only released in Indonesian
179,Mareep,Tropical Present,Miscellaneous Promos,early '99,https://www.tcgplayer.com/product/617344/pokemon-japan-pokemon-card-fan-club-tropical-present-spring-jumbo,Jumbo
,,Double Gust,Neo Genesis,100,https://www.tcgplayer.com/product/84891/pokemon-neo-genesis-double-gust,
,,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Twins,Triumphant,89,https://www.tcgplayer.com/product/90086/pokemon-triumphant-twins,
,,Ampharos ,Chaos Rising ,90,https://www.tcgplayer.com/product/693446/pokemon-me04-chaos-rising-ampharos-090-086,
,,Banette,Ascended Heroes,234,https://www.tcgplayer.com/product/676046/pokemon-me-ascended-heroes-banette-234-217,ornament
180,Flaaffy,Celebratory Fanfare,S-P Promos,254,https://www.tcgplayer.com/product/597427/pokemon-japan-s-p-sword-and-shield-promos-celebration-fanfare-254-s-p,
181,Ampharos,Mary's Request,Unseen Forces,86,https://www.tcgplayer.com/product/87243/pokemon-unseen-forces-marys-request,
,,Lightning Energy,HeartGold & SoulSilver,118,https://www.tcgplayer.com/product/86768/pokemon-heartgold-soulsilver-lightning-energy,silhouette
,,,2010 World Championships Decks,-,https://www.tcgplayer.com/product/480067/pokemon-world-championship-decks-lightning-energy-2010-yuta-komatsuda,
,,,Call of Legends,91,https://www.tcgplayer.com/product/86781/pokemon-call-of-legends-lightning-energy,
,Mega Ampharos,Ampharos Spirit Link,Ancient Origins,70,https://www.tcgplayer.com/product/101493/pokemon-xy-ancient-origins-ampharos-spirit-link,
,,Poncho-wearing Pikachu,XY-P Promos,274,https://www.tcgplayer.com/product/602178/pokemon-japan-xy-p-xy-promos-poncho-wearing-pikachu-274-xy-p,costume
182,Bellossom,Flower Shop Lady,Undaunted,74,https://www.tcgplayer.com/product/85519/pokemon-undaunted-flower-shop-lady,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,https://www.tcgplayer.com/product/598402/pokemon-japan-sm-p-sun-and-moon-promos-pretend-tea-ceremony-pikachu-325-sm-p,
,,Gardenia's Vigor,Crown Zenith,GG61,https://www.tcgplayer.com/product/477058/pokemon-swsh-crown-zenith-galarian-gallery-gardenias-vigor,
183,Marill,Pokémon Valley,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617252/pokemon-japan-corocoro-promotional-cards-pokemon-valley-jumbo,Jumbo
,,Tropical Present,Miscellaneous Promos,late '99,https://www.tcgplayer.com/product/617345/pokemon-japan-pokemon-card-fan-club-tropical-present-summer-1999-jumbo,Jumbo
,,No.1 Trainer,Battle Road Promo,-,,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,Energy Switch,Aquapolis,120,https://www.tcgplayer.com/product/85253/pokemon-aquapolis-energy-switch,
,,Switch,HeartGold & SoulSilver,102,https://www.tcgplayer.com/product/89718/pokemon-heartgold-soulsilver-switch,
,,Twins,Triumphant,89,https://www.tcgplayer.com/product/90086/pokemon-triumphant-twins,
,,Tropical Tidal Wave,HGSS Promos,18,https://www.tcgplayer.com/product/97703/pokemon-hgss-promos-tropical-tidal-wave-hgss18-worlds-10-staff,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,https://www.tcgplayer.com/product/598402/pokemon-japan-sm-p-sun-and-moon-promos-pretend-tea-ceremony-pikachu-325-sm-p,
,,Glaceon VMAX,Evolving Skies,209,https://www.tcgplayer.com/product/246756/pokemon-swsh07-evolving-skies-glaceon-vmax-alternate-art-secret,
,,Grotle,Temporal Forces,164,https://www.tcgplayer.com/product/542885/pokemon-sv05-temporal-forces-grotle-164-162,
,,Cincinno,Temporal Forces,183,https://www.tcgplayer.com/product/542904/pokemon-sv05-temporal-forces-cinccino-183-162,
,,Energy Removal 2,Expedition,140,https://www.tcgplayer.com/product/85221/pokemon-expedition-energy-removal-2,silhouette
,,,Ruby & Sapphire,80,https://www.tcgplayer.com/product/85220/pokemon-ruby-and-sapphire-energy-removal-2,
,,,FireRed & LeafGreen,89,https://www.tcgplayer.com/product/85222/pokemon-firered-and-leafgreen-energy-removal-2,
,,,Unseen Forces,82,https://www.tcgplayer.com/product/85223/pokemon-unseen-forces-energy-removal-2,
,,,Power Keepers,74,https://www.tcgplayer.com/product/85224/pokemon-power-keepers-energy-removal-2,
,,Pikachu,XY-P Promos,-,,picture
184,Azumarill,Pokémon Personality Test,Neo Destiny,102,https://www.tcgplayer.com/product/88232/pokemon-neo-destiny-pokemon-personality-test,
,,Kingdra,Burning Shadows,31,https://www.tcgplayer.com/product/138511/pokemon-sm-burning-shadows-kingdra,
,,Glaceon VMAX,Evolving Skies,209,https://www.tcgplayer.com/product/246756/pokemon-swsh07-evolving-skies-glaceon-vmax-alternate-art-secret,
185,Sudowoodo,Flower Shop Lady,Undaunted,74,https://www.tcgplayer.com/product/85519/pokemon-undaunted-flower-shop-lady,
,,Zeraora and Friends,SM-P Promos,-,,Jumbo
,,Chikorita,MEP Promos,46,https://www.tcgplayer.com/product/686342/pokemon-me-mega-evolution-promo-chikorita-cosmos-holo,
,,Fighting Energy,HeartGold & SoulSilver,120,https://www.tcgplayer.com/product/85444/pokemon-heartgold-soulsilver-fighting-energy,silhouette
,,,2010 World Championships Decks,-,,
,,,Call of Legends,93,https://www.tcgplayer.com/product/85445/pokemon-call-of-legends-fighting-energy,
186,Politoed,Fisherman,Skyridge,125,https://www.tcgplayer.com/product/85471/pokemon-skyridge-fisherman,
,,Pretend Tea Ceremony Pikachu,SM-P Promos,325,https://www.tcgplayer.com/product/598402/pokemon-japan-sm-p-sun-and-moon-promos-pretend-tea-ceremony-pikachu-325-sm-p,
187,Hoppip,Tropical Present,Miscellaneous Promos,early '99,https://www.tcgplayer.com/product/617344/pokemon-japan-pokemon-card-fan-club-tropical-present-spring-jumbo,Jumbo
,,Double Gust,Neo Genesis,100,https://www.tcgplayer.com/product/84891/pokemon-neo-genesis-double-gust,
,,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Tropical Present,Miscellaneous Promos,©2001,https://www.tcgplayer.com/product/617346/pokemon-japan-pokemon-card-fan-club-tropical-present-summer-2001-jumbo,Jumbo
,,Tropical Tidal Wave,HGSS Promos,18,https://www.tcgplayer.com/product/97703/pokemon-hgss-promos-tropical-tidal-wave-hgss18-worlds-10-staff,
,,Pikachu,SM Promos,234,https://www.tcgplayer.com/product/200275/pokemon-sm-promos-pikachu-sm234,
,,Medicham V,Evolving Skies,186,https://www.tcgplayer.com/product/246707/pokemon-swsh07-evolving-skies-medicham-v-alternate-full-art,
,,Garganacl,Paradox Rift,202,https://www.tcgplayer.com/product/523883/pokemon-sv04-paradox-rift-garganacl-202-182,
,,Clive,Paldean Fates,236,https://www.tcgplayer.com/product/535098/pokemon-sv-paldean-fates-clive-236-091,
,,Switch,Expedition,157,https://www.tcgplayer.com/product/89711/pokemon-expedition-switch,silhouette
188,Skiploom,Medicham V,Evolving Skies,186,https://www.tcgplayer.com/product/246707/pokemon-swsh07-evolving-skies-medicham-v-alternate-full-art,
189,Jumpluff,Skiploom,Lost Thunder,13,https://www.tcgplayer.com/product/178810/pokemon-sm-lost-thunder-skiploom,
,,Medicham V,Evolving Skies,186,https://www.tcgplayer.com/product/246707/pokemon-swsh07-evolving-skies-medicham-v-alternate-full-art,
,,Pikachu,XY-P Promos,-,,picture
190,Aipom,Chansey,Expedition,72,https://www.tcgplayer.com/product/84172/pokemon-expedition-chansey,
,,Captain Pikachu,Pokémon Center promo,-,https://www.tcgplayer.com/product/617410/pokemon-japan-unnumbered-promotional-cards-captain-pikachu,Jumbo
,,Pikachu at the Museum,MEP Promos,-,https://www.tcgplayer.com/product/678659/pokemon-jumbo-cards-pikachu-at-the-museum,gargoyle; Jumbo
191,Sunkern,Apricorn Maker,Skyridge,121,https://www.tcgplayer.com/product/83564/pokemon-skyridge-apricorn-maker,
,,,Celestial Storm,124,https://www.tcgplayer.com/product/170985/pokemon-sm-celestial-storm-apricorn-maker,
,,Inkay,XY-P Promos,-,,Jumbo
,,Apricorn Maker,Celestial Storm,161,https://www.tcgplayer.com/product/171013/pokemon-sm-celestial-storm-apricorn-maker-full-art,
192,Sunflora,Pokémon Breeder Fields,Neo Revelation,62,https://www.tcgplayer.com/product/88208/pokemon-neo-revelation-pokemon-breeder-fields,
,,Artazon,Paldea Evolved,171,https://www.tcgplayer.com/product/497541/pokemon-sv02-paldea-evolved-artazon,statue
,,,Paldean Fates,76,https://www.tcgplayer.com/product/534438/pokemon-sv-paldean-fates-artazon,
,,Foongus,Obsidian Flames,9,https://www.tcgplayer.com/product/509665/pokemon-sv03-obsidian-flames-foongus,
,,Artazon,Obsidian Flames,229,https://www.tcgplayer.com/product/509990/pokemon-sv03-obsidian-flames-artazon-229-197,
193,Yanma,Spinarak,Twlight Masquerade,4,https://www.tcgplayer.com/product/550048/pokemon-sv06-twilight-masquerade-spinarak,logo
,,Caretaker,Twlight Masquerade,144,https://www.tcgplayer.com/product/550188/pokemon-sv06-twilight-masquerade-caretaker-144-167,
,,Community Center,Twlight Masquerade,146,https://www.tcgplayer.com/product/550190/pokemon-sv06-twilight-masquerade-community-center,
,,Caretaker,Twlight Masquerade,203,https://www.tcgplayer.com/product/550247/pokemon-sv06-twilight-masquerade-caretaker-203-167,
194,Wooper,Pokémon Nurse,Expedition,145,https://www.tcgplayer.com/product/88229/pokemon-expedition-pokemon-nurse,
,,,TCG Classic: Venusaur Deck,23,https://www.tcgplayer.com/product/591970/pokemon-japan-pokemon-tcg-classic-venusaur-pokemon-nurse,
,,Energy Switch,Aquapolis,120,https://www.tcgplayer.com/product/85253/pokemon-aquapolis-energy-switch,
,,Town Volunteers,Aquapolis,136,https://www.tcgplayer.com/product/90006/pokemon-aquapolis-town-volunteers,
,,Fisherman,HeartGold & SoulSilver,92,https://www.tcgplayer.com/product/85472/pokemon-heartgold-soulsilver-fisherman,
,,Koko,Koko Illustration Contest,Parent-Child,,Jumbo
,,Gardevoir ex,Paldean Fates,233,https://www.tcgplayer.com/product/535085/pokemon-sv-paldean-fates-gardevoir-ex-233-091,
,,Lana's Aid,Twlight Masquerade,219,https://www.tcgplayer.com/product/550263/pokemon-sv06-twilight-masquerade-lanas-aid-219-167,
195,Quagsire,Kangaskhan,Destined Rivals,204,https://www.tcgplayer.com/product/633004/pokemon-sv10-destined-rivals-kangaskhan-204-182,
196,Espeon,Pokémon Center,BW-P Promos,190,https://www.tcgplayer.com/product/635227/pokemon-japan-bw-p-promotional-cards-pokemon-center-190-bw-p,
,,Drapion,BREAKpoint,54,https://www.tcgplayer.com/product/111595/pokemon-xy-breakpoint-drapion,
,,Psychic Energy,HeartGold & SoulSilver,119,https://www.tcgplayer.com/product/88424/pokemon-heartgold-soulsilver-psychic-energy,silhouette
,,,2010 World Championships Decks,-,https://www.tcgplayer.com/product/480100/pokemon-world-championship-decks-psychic-energy-2010-michael-pramawat,
,,,Call of Legends,92,https://www.tcgplayer.com/product/88425/pokemon-call-of-legends-psychic-energy,
,,Poncho-wearing Eevee,SM-P Promos,140,https://www.tcgplayer.com/product/598217/pokemon-japan-sm-p-sun-and-moon-promos-poncho-wearing-eevee-140-sm-p,costume
197,Umbreon,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,,
,,Pokémon Center,BW-P Promos,190,https://www.tcgplayer.com/product/635227/pokemon-japan-bw-p-promotional-cards-pokemon-center-190-bw-p,
,,Oracle,Skyridge,138,https://www.tcgplayer.com/product/87887/pokemon-skyridge-oracle,
,,All-Night Party,BREAKpoint,96,https://www.tcgplayer.com/product/111569/pokemon-xy-breakpoint-all-night-party,
,,Alakazam-EX,Fates Collide,125,https://www.tcgplayer.com/product/117896/pokemon-xy-fates-collide-alakazam-ex-secret,
,,Karen,XY Promos,177,https://www.tcgplayer.com/product/123438/pokemon-xy-promos-karen,
,,Penny,Paldean Fates,239,https://www.tcgplayer.com/product/535108/pokemon-sv-paldean-fates-penny,
,,Darkness Energy,HeartGold & SoulSilver,121,https://www.tcgplayer.com/product/84677/pokemon-heartgold-soulsilver-darkness-energy-basic,silhouette
,,,Call of Legends,94,https://www.tcgplayer.com/product/84678/pokemon-call-of-legends-darkness-energy-basic,
,,Poncho-wearing Eevee,SM-P Promos,141,https://www.tcgplayer.com/product/598218/pokemon-japan-sm-p-sun-and-moon-promos-poncho-wearing-eevee-141-sm-p,costume
198,Murkrow,Illusion's Zorua,2010 Card Design Contest,Pucchigumi,,
,,Pokémon March,Neo Genesis,102,https://www.tcgplayer.com/product/88228/pokemon-neo-genesis-pokemon-march,
,,Honchkrow,Guardians Rising,79,https://www.tcgplayer.com/product/130991/pokemon-sm-guardians-rising-honchkrow,
,,Honchkrow V,Brilliant Stars,162,https://www.tcgplayer.com/product/263881/pokemon-swsh09-brilliant-stars-honchkrow-v-alternate-full-art,
,,Temple of Sinnoh,Astral Radiance,214,https://www.tcgplayer.com/product/272469/pokemon-swsh10-astral-radiance-temple-of-sinnoh-secret,
,,Honchkrow,Phantasmal Flames,58,https://www.tcgplayer.com/product/662169/pokemon-me02-phantasmal-flames-honchkrow,
199,Slowking,Pretend Tea Ceremony Pikachu,SM-P Promos,325,https://www.tcgplayer.com/product/598402/pokemon-japan-sm-p-sun-and-moon-promos-pretend-tea-ceremony-pikachu-325-sm-p,
200,Misdreavus,Beldum,Unleashed,44,https://www.tcgplayer.com/product/83791/pokemon-unleashed-beldum,
,,Mewtwo,BW-P Promos,-,,Jumbo
,,Gourgeist,Art Academy Promo,rina,,
,,Mismagius,Crimson Invasion,40,https://www.tcgplayer.com/product/149063/pokemon-sm-crimson-invasion-mismagius,
201,Unown,Ruins of Alph,Undaunted,76,https://www.tcgplayer.com/product/88846/pokemon-undaunted-ruins-of-alph,
,,Pikachu,SM Promos,234,https://www.tcgplayer.com/product/200275/pokemon-sm-promos-pikachu-sm234,
,,Ruin Wall,Neo Discovery,74,https://www.tcgplayer.com/product/88845/pokemon-neo-discovery-ruin-wall,carving
,,Energy Ark,Neo Discovery,75,https://www.tcgplayer.com/product/85209/pokemon-neo-discovery-energy-ark,
,,Ruin Wall,Crossing the Ruins...,-,https://www.tcgplayer.com/product/575445/pokemon-japan-crossing-the-ruins-ruin-wall-kabuto,
,,Eevee,Premium File 2,-,https://www.tcgplayer.com/product/607848/pokemon-japan-neo-premium-file-2-eevee,
,,Alph Lithograph,HeartGold & SoulSilver,ONE,https://www.tcgplayer.com/product/83509/pokemon-heartgold-soulsilver-alph-lithograph,
,,Alph Lithograph,Unleashed,TWO,https://www.tcgplayer.com/product/83510/pokemon-unleashed-alph-lithograph,
,,Alph Lithograph,Undaunted,THREE,https://www.tcgplayer.com/product/83511/pokemon-undaunted-alph-lithograph,
,,Alph Lithograph,Triumphant,FOUR,https://www.tcgplayer.com/product/83512/pokemon-triumphant-alph-lithograph,
,,Golurk V,Evolving Skies,182,https://www.tcgplayer.com/product/246695/pokemon-swsh07-evolving-skies-golurk-v-alternate-full-art,
,,Chikorita,MEP Promos,46,https://www.tcgplayer.com/product/686342/pokemon-me-mega-evolution-promo-chikorita-cosmos-holo,
,,Totodile,MEP Promos,48,,
,,Cyndaquil,MEP Promos,47,,"carving, only partially visible"
